ds,yhat,yhat_lower,yhat_upper
2024-04-19,63685.11025004561,58178.78889258704,69538.09683034633
2024-04-20,63671.643023127064,57876.56287005541,69165.89298157526
2024-04-21,63676.51721898249,58201.15923523628,69572.64652924101
2024-04-22,63753.9513661415,58069.32296493352,69297.37815410385
2024-04-23,63683.45510971186,58238.24367936808,69147.21655017065
2024-04-24,63746.171166804525,58352.02294755447,69255.55840407759
2024-04-25,63671.55076989977,58239.110190132735,69380.45964689934
2024-04-26,63647.44544246774,58294.20515397156,69181.85270234522
2024-04-27,63629.80850487727,58173.39706624999,69206.43462085596
2024-04-28,63623.751033113884,57747.14237817143,69053.41295692351
2024-04-29,63683.4302166663,57867.08729598374,69037.12675584124
2024-04-30,63588.57414050732,57730.843312187186,69301.1995792438
2024-05-01,63620.81153892648,57840.288840175264,69424.93336715881
2024-05-02,63510.32703428867,57873.73199003082,69499.12867429816
2024-05-03,63445.92541705888,57744.470978796555,68937.3477950419
2024-05-04,63384.69927958884,57689.517531222555,68897.33877568008
2024-05-05,63333.04581420039,57547.226985535206,69166.79584596383
2024-05-06,63346.51194991097,57555.65985759465,69132.2966201148
2024-05-07,63206.273183488105,57586.60531150146,68837.50857048391
2024-05-08,63195.41604651946,57202.48497424188,68895.26745268593
2024-05-09,63045.546137619705,57251.28350486831,68638.13888543853
2024-05-10,62946.80667318481,57433.96351868667,68529.48379391232
2024-05-11,62857.5032071697,56825.901012348666,68638.72119452574
2024-05-12,62785.08157143139,56945.43783729357,68210.94199160676
2024-05-13,62785.93932031669,57499.93636888792,68817.55135783195
2024-05-14,62641.87698243891,57721.66875560474,68362.8963603549
2024-05-15,62636.35982102487,56887.942402116045,67986.1039382089
2024-05-16,62501.11258438813,56786.81845031372,68485.20823111961
2024-05-17,62426.13253157519,56621.06597055717,67771.79511104533
2024-05-18,62369.31648749194,56611.41685246702,67891.75062400025
2024-05-19,62337.448854650655,56681.69610399884,67692.50059481926
2024-05-20,62386.03051884337,56650.53360601869,67749.91090796582
2024-05-21,62295.75439579401,56502.2894957917,67789.68262726872
2024-05-22,62348.79757311835,57122.62573948833,68391.11947517974
2024-05-23,62275.45161463975,56745.55535330938,67956.44568923005
2024-05-24,62264.17525824289,56848.26282360038,67730.50689498716
2024-05-25,62271.264100245186,56539.97700696925,67845.81580045099
2024-05-26,62301.88295910902,56779.70824633346,68176.01099814521
2024-05-27,62409.93958473657,57073.66952520735,67474.4893404378
2024-05-28,62374.60418930753,56808.02623431518,68265.95032717352
2024-05-29,62476.64351929957,57111.87604928949,68220.43435772618
2024-05-30,62445.08987215736,56444.284502117676,68299.9254391671
2024-05-31,62467.32822872828,57222.074244539246,68122.99493081823
2024-06-01,62498.79516677727,56637.337349250076,68594.6255682825
2024-06-02,62544.03447791134,57010.79563899817,68022.72190657629
2024-06-03,62656.58756071663,57020.54843683696,68379.58066330284
2024-06-04,62615.522664259115,56984.28409557638,68260.19785342783
2024-06-05,62701.77150025143,56996.81600298294,68572.58611116787
2024-06-06,62644.793629474494,57128.35371924753,68144.88894222016
2024-06-07,62632.65199626038,56846.87885569756,68554.66597819283
2024-06-08,62621.693670984256,57166.76630913103,68405.56981357282
2024-06-09,62617.58129550736,57000.097235982146,68899.19474563311
